reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,1,0.2240886688232422,0.3604602813720703,0.8868715083798883,0.8868715083798883,0.8868715083798883,56,716,56,716,58,806
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,2,0.20570611953735352,0.2994973659515381,0.8868715083798883,0.8868715083798883,0.8868715083798883,56,716,56,716,58,806
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,3,0.24789714813232422,0.31987857818603516,0.8868715083798883,0.8868715083798883,0.8868715083798883,56,716,56,716,58,806
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,4,0.21335864067077637,0.2711045742034912,0.8868715083798883,0.8868715083798883,0.8868715083798883,56,716,56,716,58,806
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,5,0.21967363357543945,0.28049755096435547,0.861731843575419,0.861731843575419,0.861731843575419,56,716,56,716,58,824
TCP_FreeBSD_Server,TCP_Linux_Server,yices,1,0.3973355293273926,0.3755183219909668,0.3878378378378378,0.3756544502617801,0.40083798882681565,56,716,58,685,80,1201
TCP_FreeBSD_Server,TCP_Linux_Server,yices,2,0.32825565338134766,0.39951181411743164,0.3932432432432432,0.38089005235602097,0.4064245810055866,56,716,58,685,80,1197
TCP_FreeBSD_Server,TCP_Linux_Server,yices,3,0.29916954040527344,0.3372645378112793,0.3932432432432432,0.38089005235602097,0.4064245810055866,56,716,58,685,80,1197
TCP_FreeBSD_Server,TCP_Linux_Server,yices,4,0.33322930335998535,0.358243465423584,0.3878378378378378,0.3756544502617801,0.40083798882681565,56,716,58,685,80,1201
TCP_FreeBSD_Server,TCP_Linux_Server,yices,5,0.29932332038879395,0.4277353286743164,0.3918918918918919,0.3795811518324607,0.40502793296089384,56,716,58,685,80,1198
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,1,0.18781280517578125,0.3429262638092041,0.40449438202247195,0.47547169811320755,0.35195530726256985,56,716,39,495,63,1002
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,2,0.18357396125793457,0.33182549476623535,0.40449438202247195,0.47547169811320755,0.35195530726256985,56,716,39,495,63,1002
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,3,0.17786765098571777,0.2987642288208008,0.4125200642054575,0.4849056603773585,0.35893854748603354,56,716,39,495,62,997
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,4,0.17490291595458984,0.2160348892211914,0.4189406099518459,0.49245283018867925,0.3645251396648045,56,716,39,495,62,993
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,5,0.17711329460144043,0.2546114921569824,0.4125200642054575,0.4849056603773585,0.35893854748603354,56,716,39,495,62,997
TCP_Linux_Server,TCP_FreeBSD_Server,yices,1,0.3138735294342041,0.4462008476257324,0.3638908327501749,0.34946236559139787,0.3795620437956204,58,685,56,716,75,1169
TCP_Linux_Server,TCP_FreeBSD_Server,yices,2,0.32565999031066895,0.43573832511901855,0.36808957312806156,0.353494623655914,0.38394160583941606,58,685,56,716,74,1166
TCP_Linux_Server,TCP_FreeBSD_Server,yices,3,0.2939176559448242,0.37274694442749023,0.36668999300209937,0.3521505376344086,0.38248175182481753,58,685,56,716,75,1167
TCP_Linux_Server,TCP_FreeBSD_Server,yices,4,0.31723856925964355,0.5347769260406494,0.36668999300209937,0.3521505376344086,0.38248175182481753,58,685,56,716,75,1167
TCP_Linux_Server,TCP_FreeBSD_Server,yices,5,0.41716814041137695,0.39937305450439453,0.36668999300209937,0.3521505376344086,0.38248175182481753,58,685,56,716,75,1167
TCP_Linux_Server,TCP_Linux_Server,yices,1,0.21825695037841797,0.28716492652893066,0.6101938262742282,0.6002824858757062,0.6204379562043796,58,685,58,685,71,984
TCP_Linux_Server,TCP_Linux_Server,yices,2,0.22706389427185059,0.3754305839538574,0.6087580760947596,0.5988700564971752,0.618978102189781,58,685,58,685,71,985
TCP_Linux_Server,TCP_Linux_Server,yices,3,0.2012803554534912,0.3793175220489502,0.6001435750179469,0.5903954802259888,0.6102189781021898,58,685,58,685,71,991
TCP_Linux_Server,TCP_Linux_Server,yices,4,0.2843742370605469,0.3467235565185547,0.6015793251974156,0.5918079096045198,0.6116788321167883,58,685,58,685,71,990
TCP_Linux_Server,TCP_Linux_Server,yices,5,0.21340060234069824,0.2889983654022217,0.6001435750179469,0.5903954802259888,0.6102189781021898,58,685,58,685,71,991
TCP_Linux_Server,TCP_Windows8_Server,yices,1,0.20735645294189453,0.22056889533996582,0.47650453421269584,0.5473484848484849,0.4218978102189781,58,685,39,495,59,924
TCP_Linux_Server,TCP_Windows8_Server,yices,2,0.1538240909576416,0.326840877532959,0.47650453421269584,0.5473484848484849,0.4218978102189781,58,685,39,495,59,924
TCP_Linux_Server,TCP_Windows8_Server,yices,3,0.1415412425994873,0.2501258850097656,0.47650453421269584,0.5473484848484849,0.4218978102189781,58,685,39,495,59,924
TCP_Linux_Server,TCP_Windows8_Server,yices,4,0.1470026969909668,0.18426918983459473,0.47650453421269584,0.5473484848484849,0.4218978102189781,58,685,39,495,59,924
TCP_Linux_Server,TCP_Windows8_Server,yices,5,0.144270658493042,0.2668416500091553,0.47650453421269584,0.5473484848484849,0.4218978102189781,58,685,39,495,59,924
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,1,0.2157282829284668,0.23172640800476074,0.3667763157894737,0.3092926490984743,0.4505050505050505,39,495,56,716,61,993
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,2,0.19467997550964355,0.3645768165588379,0.3667763157894737,0.3092926490984743,0.4505050505050505,39,495,56,716,61,993
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,3,0.18194866180419922,0.31172966957092285,0.3618421052631579,0.30513176144244103,0.4444444444444444,39,495,56,716,61,996
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,4,0.175004243850708,0.2310328483581543,0.3651315789473684,0.3079056865464632,0.4484848484848485,39,495,56,716,61,994
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,5,0.17667460441589355,0.22919917106628418,0.3618421052631579,0.30513176144244103,0.4444444444444444,39,495,56,716,61,996
TCP_Windows8_Server,TCP_Linux_Server,yices,1,0.1923656463623047,0.273500919342041,0.3472454090150251,0.2958748221906117,0.4202020202020202,39,495,58,685,66,994
TCP_Windows8_Server,TCP_Linux_Server,yices,2,0.20276761054992676,0.35529208183288574,0.32554257095158595,0.2773826458036984,0.3939393939393939,39,495,58,685,66,1007
TCP_Windows8_Server,TCP_Linux_Server,yices,3,0.18068575859069824,0.3611304759979248,0.32554257095158595,0.2773826458036984,0.3939393939393939,39,495,58,685,66,1007
TCP_Windows8_Server,TCP_Linux_Server,yices,4,0.19663119316101074,0.42979001998901367,0.32554257095158595,0.2773826458036984,0.3939393939393939,39,495,58,685,66,1007
TCP_Windows8_Server,TCP_Linux_Server,yices,5,0.2030503749847412,0.2620410919189453,0.32554257095158595,0.2773826458036984,0.3939393939393939,39,495,58,685,66,1007
TCP_Windows8_Server,TCP_Windows8_Server,yices,1,0.09709787368774414,0.16889381408691406,0.716,0.7089108910891089,0.7232323232323232,39,495,39,495,44,642
TCP_Windows8_Server,TCP_Windows8_Server,yices,2,0.09321904182434082,0.2519049644470215,0.682,0.6752475247524753,0.6888888888888889,39,495,39,495,44,659
TCP_Windows8_Server,TCP_Windows8_Server,yices,3,0.1494615077972412,0.28580188751220703,0.682,0.6752475247524753,0.6888888888888889,39,495,39,495,44,659
TCP_Windows8_Server,TCP_Windows8_Server,yices,4,0.09276556968688965,0.2486116886138916,0.682,0.6752475247524753,0.6888888888888889,39,495,39,495,44,659
TCP_Windows8_Server,TCP_Windows8_Server,yices,5,0.0978245735168457,0.16371417045593262,0.716,0.7089108910891089,0.7232323232323232,39,495,39,495,44,642
