reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,1,0.7364256381988525,1.1066112518310547,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,2,0.7036526203155518,0.9992997646331787,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,3,0.7032568454742432,1.3400790691375732,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,4,0.7060797214508057,1.0037319660186768,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_FreeBSD_Server,yices,5,0.7572121620178223,1.095182180404663,1.0,1.0,1.0,56,716,56,716,56,716
TCP_FreeBSD_Server,TCP_Linux_Server,yices,1,1.230863332748413,1.336803913116455,0.5373324824505423,0.49471210340775557,0.5879888268156425,56,716,58,685,81,1146
TCP_FreeBSD_Server,TCP_Linux_Server,yices,2,0.963099479675293,1.5224339962005615,0.5373324824505423,0.49471210340775557,0.5879888268156425,56,716,58,685,81,1146
TCP_FreeBSD_Server,TCP_Linux_Server,yices,3,0.8837509155273438,1.37363600730896,0.5373324824505423,0.49471210340775557,0.5879888268156425,56,716,58,685,81,1146
TCP_FreeBSD_Server,TCP_Linux_Server,yices,4,0.954979658126831,1.5011956691741943,0.5373324824505423,0.49471210340775557,0.5879888268156425,56,716,58,685,81,1146
TCP_FreeBSD_Server,TCP_Linux_Server,yices,5,0.9366929531097412,1.4688141345977783,0.5373324824505423,0.49471210340775557,0.5879888268156425,56,716,58,685,81,1146
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,1,0.5235543251037598,0.8080289363861084,0.479876160990712,0.5381944444444444,0.4329608938547486,56,716,39,495,65,982
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,2,0.5777230262756348,0.7764296531677246,0.479876160990712,0.5381944444444444,0.4329608938547486,56,716,39,495,65,982
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,3,0.7456676959991455,0.6325747966766357,0.479876160990712,0.5381944444444444,0.4329608938547486,56,716,39,495,65,982
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,4,0.5169699192047119,0.6490590572357178,0.479876160990712,0.5381944444444444,0.4329608938547486,56,716,39,495,65,982
TCP_FreeBSD_Server,TCP_Windows8_Server,yices,5,0.605677604675293,0.7126433849334717,0.479876160990712,0.5381944444444444,0.4329608938547486,56,716,39,495,65,982
TCP_Linux_Server,TCP_FreeBSD_Server,yices,1,0.862656831741333,1.705528736114502,0.5027247956403269,0.47126436781609193,0.5386861313868613,58,685,56,716,76,1099
TCP_Linux_Server,TCP_FreeBSD_Server,yices,2,0.8911697864532471,1.4286434650421143,0.5027247956403269,0.47126436781609193,0.5386861313868613,58,685,56,716,76,1099
TCP_Linux_Server,TCP_FreeBSD_Server,yices,3,0.8733899593353271,1.620673418045044,0.5027247956403269,0.47126436781609193,0.5386861313868613,58,685,56,716,76,1099
TCP_Linux_Server,TCP_FreeBSD_Server,yices,4,1.074744462966919,1.425508737564087,0.5027247956403269,0.47126436781609193,0.5386861313868613,58,685,56,716,76,1099
TCP_Linux_Server,TCP_FreeBSD_Server,yices,5,0.918083667755127,1.6666431427001953,0.5027247956403269,0.47126436781609193,0.5386861313868613,58,685,56,716,76,1099
TCP_Linux_Server,TCP_Linux_Server,yices,1,0.6909158229827881,1.1419596672058105,0.9088339222614841,0.8808219178082192,0.9386861313868613,58,685,58,685,63,772
TCP_Linux_Server,TCP_Linux_Server,yices,2,0.9358572959899902,1.1393437385559082,0.9088339222614841,0.8808219178082192,0.9386861313868613,58,685,58,685,63,772
TCP_Linux_Server,TCP_Linux_Server,yices,3,0.6759233474731445,0.9807529449462891,0.9088339222614841,0.8808219178082192,0.9386861313868613,58,685,58,685,63,772
TCP_Linux_Server,TCP_Linux_Server,yices,4,0.691063642501831,1.0134689807891846,0.9088339222614841,0.8808219178082192,0.9386861313868613,58,685,58,685,63,772
TCP_Linux_Server,TCP_Linux_Server,yices,5,1.017953872680664,1.0677299499511719,0.9088339222614841,0.8808219178082192,0.9386861313868613,58,685,58,685,63,772
TCP_Linux_Server,TCP_Windows8_Server,yices,1,0.5939769744873047,0.6416115760803223,0.64,0.6915254237288135,0.5956204379562043,58,685,39,495,60,867
TCP_Linux_Server,TCP_Windows8_Server,yices,2,0.6847448348999023,0.7159690856933594,0.64,0.6915254237288135,0.5956204379562043,58,685,39,495,60,867
TCP_Linux_Server,TCP_Windows8_Server,yices,3,0.534090518951416,0.7086865901947021,0.64,0.6915254237288135,0.5956204379562043,58,685,39,495,60,867
TCP_Linux_Server,TCP_Windows8_Server,yices,4,0.5474767684936523,0.6434502601623535,0.64,0.6915254237288135,0.5956204379562043,58,685,39,495,60,867
TCP_Linux_Server,TCP_Windows8_Server,yices,5,0.5516965389251709,1.0556795597076416,0.64,0.6915254237288135,0.5956204379562043,58,685,39,495,60,867
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,1,0.5800075531005859,0.922771692276001,0.48575949367088606,0.3992197659297789,0.6202020202020202,39,495,56,716,64,957
TCP_Windows8_Server,TCP_FreeBSD_Server,yices,2,0.5520119667053223,0.6017971038818359,0.48575949367088606,0.3992197659297789,0.6202020202020202,39,495,56,716,64,957
