reference version,updated version,reference model date,updated model date,delta date (days),incoming time,outgoing time,SMT solver,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
0_9_7eTLS10,1_1_1TLS10,2004-10-25,2018-02-13,-4859,0.016913890838623047,0.07111883163452148,yices,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
0_9_7eTLS10,1_1_1TLS10,2004-10-25,2018-02-13,-4859,0.02044367790222168,0.07094812393188477,z3,0.7300380228136882,0.8888888888888888,0.6193548387096774,15,155,9,89,16,167
0_9_7TLS10,0_9_7eTLS10,2002-06-01,2004-10-25,-877,0.05802345275878906,0.11560702323913574,cvc4,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7TLS10,0_9_7eTLS10,2002-06-01,2004-10-25,-877,0.04110860824584961,0.08987593650817871,msat,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7TLS10,0_9_7eTLS10,2002-06-01,2004-10-25,-877,0.02691483497619629,0.07529258728027344,yices,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7TLS10,0_9_7eTLS10,2002-06-01,2004-10-25,-877,0.03148055076599121,0.08335757255554199,z3,0.9419354838709677,0.9419354838709677,0.9419354838709677,15,155,15,155,15,164
0_9_7TLS10,0_9_7TLS10,2002-06-01,2002-06-01,0,0.05910134315490723,0.11379027366638184,cvc4,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7TLS10,0_9_7TLS10,2002-06-01,2002-06-01,0,0.03865551948547363,0.08942461013793945,msat,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7TLS10,0_9_7TLS10,2002-06-01,2002-06-01,0,0.026676416397094727,0.07782864570617676,yices,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7TLS10,0_9_7TLS10,2002-06-01,2002-06-01,0,0.03255867958068848,0.08375310897827148,z3,1.0,1.0,1.0,15,155,15,155,15,155
0_9_7TLS10,0_9_8lTLS10,2002-06-01,2009-11-05,-2714,0.05363321304321289,0.11052751541137695,cvc4,0.8181818181818182,0.8931297709923665,0.7548387096774194,15,155,11,111,15,169
0_9_7TLS10,0_9_8lTLS10,2002-06-01,2009-11-05,-2714,0.030709266662597656,0.08182787895202637,msat,0.8181818181818182,0.8931297709923665,0.7548387096774194,15,155,11,111,15,169
0_9_7TLS10,0_9_8lTLS10,2002-06-01,2009-11-05,-2714,0.020198583602905273,0.0695028305053711,yices,0.8181818181818182,0.8931297709923665,0.7548387096774194,15,155,11,111,15,169
0_9_7TLS10,0_9_8lTLS10,2002-06-01,2009-11-05,-2714,0.023103952407836914,0.07483506202697754,z3,0.8181818181818182,0.8931297709923665,0.7548387096774194,15,155,11,111,15,169
0_9_7TLS10,0_9_8sTLS10,2002-06-01,2012-01-04,-3504,0.10889554023742676,0.10024619102478027,cvc4,0.9090909090909091,0.9507042253521126,0.8709677419354839,15,155,12,122,15,162
0_9_7TLS10,0_9_8sTLS10,2002-06-01,2012-01-04,-3504,0.03257870674133301,0.08489108085632324,msat,0.9090909090909091,0.9507042253521126,0.8709677419354839,15,155,12,122,15,162
0_9_7TLS10,0_9_8sTLS10,2002-06-01,2012-01-04,-3504,0.021024227142333984,0.07208704948425293,yices,0.9090909090909091,0.9507042253521126,0.8709677419354839,15,155,12,122,15,162
0_9_7TLS10,0_9_8sTLS10,2002-06-01,2012-01-04,-3504,0.026093721389770508,0.08327007293701172,z3,0.9090909090909091,0.9507042253521126,0.8709677419354839,15,155,12,122,15,162
0_9_7TLS10,0_9_8uTLS10,2002-06-01,2012-03-12,-3572,0.06466388702392578,0.15059232711791992,cvc4,0.9354838709677419,0.9354838709677419,0.9354838709677419,15,155,15,155,15,165
0_9_7TLS10,0_9_8uTLS10,2002-06-01,2012-03-12,-3572,0.03972792625427246,0.09208035469055176,msat,0.9354838709677419,0.9354838709677419,0.9354838709677419,15,155,15,155,15,165
0_9_7TLS10,0_9_8uTLS10,2002-06-01,2012-03-12,-3572,0.02725386619567871,0.11536264419555664,yices,0.9354838709677419,0.9354838709677419,0.9354838709677419,15,155,15,155,15,165
0_9_7TLS10,0_9_8uTLS10,2002-06-01,2012-03-12,-3572,0.035700082778930664,0.09282064437866211,z3,0.9354838709677419,0.9354838709677419,0.9354838709677419,15,155,15,155,15,165
0_9_7TLS10,0_9_8yTLS10,2002-06-01,2013-02-04,-3901,0.06149554252624512,0.1316511631011963,cvc4,0.9290322580645162,0.9290322580645162,0.9290322580645162,15,155,15,155,15,166
0_9_7TLS10,0_9_8yTLS10,2002-06-01,2013-02-04,-3901,0.0395355224609375,0.09368491172790527,msat,0.9290322580645162,0.9290322580645162,0.9290322580645162,15,155,15,155,15,166
0_9_7TLS10,0_9_8yTLS10,2002-06-01,2013-02-04,-3901,0.037308692932128906,0.07856321334838867,yices,0.9290322580645162,0.9290322580645162,0.9290322580645162,15,155,15,155,15,166
0_9_7TLS10,0_9_8yTLS10,2002-06-01,2013-02-04,-3901,0.03006768226623535,0.08182144165039062,z3,0.9290322580645162,0.9290322580645162,0.9290322580645162,15,155,15,155,15,166
0_9_7TLS10,0_9_8zaTLS10,2002-06-01,2014-06-05,-4387,0.05591011047363281,0.13563036918640137,cvc4,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,0_9_8zaTLS10,2002-06-01,2014-06-05,-4387,0.04977130889892578,0.11192607879638672,msat,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,0_9_8zaTLS10,2002-06-01,2014-06-05,-4387,0.026380300521850586,0.07911849021911621,yices,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,0_9_8zaTLS10,2002-06-01,2014-06-05,-4387,0.030423402786254883,0.08234930038452148,z3,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,0_9_8zbTLS10,2002-06-01,2014-08-06,-4449,0.04777383804321289,0.10321283340454102,cvc4,0.8251748251748251,0.9007633587786259,0.7612903225806451,15,155,12,122,15,168
0_9_7TLS10,0_9_8zbTLS10,2002-06-01,2014-08-06,-4449,0.03225278854370117,0.08271908760070801,msat,0.8251748251748251,0.9007633587786259,0.7612903225806451,15,155,12,122,15,168
0_9_7TLS10,0_9_8zbTLS10,2002-06-01,2014-08-06,-4449,0.026018142700195312,0.0713346004486084,yices,0.8251748251748251,0.9007633587786259,0.7612903225806451,15,155,12,122,15,168
0_9_7TLS10,0_9_8zbTLS10,2002-06-01,2014-08-06,-4449,0.025773048400878906,0.0762948989868164,z3,0.8251748251748251,0.9007633587786259,0.7612903225806451,15,155,12,122,15,168
0_9_7TLS10,1_0_0pTLS10,2002-06-01,2015-01-08,-4604,0.050866127014160156,0.10485506057739258,cvc4,0.8111888111888113,0.8854961832061069,0.7483870967741936,15,155,12,122,15,170
0_9_7TLS10,1_0_0pTLS10,2002-06-01,2015-01-08,-4604,0.03348088264465332,0.08360910415649414,msat,0.8111888111888113,0.8854961832061069,0.7483870967741936,15,155,12,122,15,170
0_9_7TLS10,1_0_0pTLS10,2002-06-01,2015-01-08,-4604,0.026488065719604492,0.07231760025024414,yices,0.8111888111888113,0.8854961832061069,0.7483870967741936,15,155,12,122,15,170
0_9_7TLS10,1_0_0pTLS10,2002-06-01,2015-01-08,-4604,0.025694847106933594,0.07699251174926758,z3,0.8111888111888113,0.8854961832061069,0.7483870967741936,15,155,12,122,15,170
0_9_7TLS10,1_0_1dTLS11,2002-06-01,2013-02-04,-3901,0.05564260482788086,0.11185312271118164,cvc4,0.8561872909698998,0.8888888888888888,0.8258064516129032,15,155,14,144,15,171
0_9_7TLS10,1_0_1dTLS11,2002-06-01,2013-02-04,-3901,0.03701066970825195,0.08625912666320801,msat,0.8561872909698998,0.8888888888888888,0.8258064516129032,15,155,14,144,15,171
0_9_7TLS10,1_0_1dTLS11,2002-06-01,2013-02-04,-3901,0.09079217910766602,0.09585428237915039,yices,0.8561872909698998,0.8888888888888888,0.8258064516129032,15,155,14,144,15,171
0_9_7TLS10,1_0_1dTLS11,2002-06-01,2013-02-04,-3901,0.030044078826904297,0.08200621604919434,z3,0.8561872909698998,0.8888888888888888,0.8258064516129032,15,155,14,144,15,171
0_9_7TLS10,1_0_1kTLS10,2002-06-01,2015-01-08,-4604,0.05154013633728027,0.10098791122436523,cvc4,0.8041958041958042,0.8778625954198473,0.7419354838709677,15,155,12,122,15,171
0_9_7TLS10,1_0_1kTLS10,2002-06-01,2015-01-08,-4604,0.031874656677246094,0.08071541786193848,msat,0.8041958041958042,0.8778625954198473,0.7419354838709677,15,155,12,122,15,171
0_9_7TLS10,1_0_1kTLS10,2002-06-01,2015-01-08,-4604,0.021600961685180664,0.07035207748413086,yices,0.8041958041958042,0.8778625954198473,0.7419354838709677,15,155,12,122,15,171
0_9_7TLS10,1_0_1kTLS10,2002-06-01,2015-01-08,-4604,0.024463891983032227,0.0740962028503418,z3,0.8041958041958042,0.8778625954198473,0.7419354838709677,15,155,12,122,15,171
0_9_7TLS10,1_0_1TLS11,2002-06-01,2012-01-03,-3503,0.0613245964050293,0.13797307014465332,cvc4,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,1_0_1TLS11,2002-06-01,2012-01-03,-3503,0.038698434829711914,0.09630012512207031,msat,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,1_0_1TLS11,2002-06-01,2012-01-03,-3503,0.025984764099121094,0.08239507675170898,yices,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,1_0_1TLS11,2002-06-01,2012-01-03,-3503,0.039282798767089844,0.12069988250732422,z3,0.882943143812709,0.9166666666666666,0.8516129032258064,15,155,14,144,15,167
0_9_7TLS10,1_0_2mTLS10,2002-06-01,2017-11-02,-5633,0.03662300109863281,0.08574390411376953,cvc4,0.6719367588932806,0.8673469387755102,0.5483870967741935,15,155,9,89,15,168
0_9_7TLS10,1_0_2mTLS10,2002-06-01,2017-11-02,-5633,0.0238800048828125,0.06965970993041992,msat,0.6719367588932806,0.8673469387755102,0.5483870967741935,15,155,9,89,15,168
0_9_7TLS10,1_0_2mTLS10,2002-06-01,2017-11-02,-5633,0.01721048355102539,0.06371951103210449,yices,0.6719367588932806,0.8673469387755102,0.5483870967741935,15,155,9,89,15,168
0_9_7TLS10,1_0_2mTLS10,2002-06-01,2017-11-02,-5633,0.018503904342651367,0.06793379783630371,z3,0.6719367588932806,0.8673469387755102,0.5483870967741935,15,155,9,89,15,168
0_9_7TLS10,1_0_2TLS10,2002-06-01,2014-02-24,-4286,0.052015066146850586,0.18776893615722656,cvc4,0.7781818181818182,0.8916666666666667,0.6903225806451613,15,155,11,111,15,168
0_9_7TLS10,1_0_2TLS10,2002-06-01,2014-02-24,-4286,0.029404401779174805,0.08231425285339355,msat,0.7781818181818182,0.8916666666666667,0.6903225806451613,15,155,11,111,15,168
0_9_7TLS10,1_0_2TLS10,2002-06-01,2014-02-24,-4286,0.020796775817871094,0.0758657455444336,yices,0.7781818181818182,0.8916666666666667,0.6903225806451613,15,155,11,111,15,168
0_9_7TLS10,1_0_2TLS10,2002-06-01,2014-02-24,-4286,0.027770042419433594,0.09251117706298828,z3,0.7781818181818182,0.8916666666666667,0.6903225806451613,15,155,11,111,15,168
0_9_7TLS10,1_1_0TLS10,2002-06-01,2015-12-10,-4940,0.04048323631286621,0.09049105644226074,cvc4,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
0_9_7TLS10,1_1_0TLS10,2002-06-01,2015-12-10,-4940,0.024778366088867188,0.07373499870300293,msat,0.6324110671936759,0.8163265306122449,0.5161290322580645,15,155,9,89,16,173
